id,vendor_name,vendor_code,invoice_number,invoice_date,due_date,amount,paid_amount,balance,category,payment_terms,status,currency,description,created_at
797,Menzies Aviation,V-MEN381,AP-70797,2024-04-09,2024-04-24,1578956.76,31352.85,1547603.91,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Menzies Aviation,2024-04-09 11:30:00
798,World Fuel Services,V-WOR909,AP-70798,2024-04-09,2024-04-24,35963.29,13449.55,22513.74,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2024-04-09 11:30:00
799,AerCap,V-AER832,AP-70799,2024-04-10,2024-05-10,3457045.52,1089468.58,2367576.94,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2024-04-10 11:30:00
800,Travelport,V-TRA903,AP-70800,2024-04-10,2024-05-10,1067382.08,196226.9,871155.18,Distribution,Net 30,Overdue,USD,Distribution services from Travelport,2024-04-10 11:30:00
801,Microsoft,V-MIC938,AP-70801,2024-04-12,2024-05-12,395904.2,27476.29,368427.91,General Admin,Net 30,Overdue,USD,General Admin services from Microsoft,2024-04-12 11:30:00
802,LSG Sky Chefs,V-LSG959,AP-70802,2024-04-13,2024-05-13,1349052.96,198475.54,1150577.42,Catering,Net 30,Overdue,USD,Catering services from LSG Sky Chefs,2024-04-13 11:30:00
803,Chevron Aviation,V-CHE958,AP-70803,2024-04-15,2024-04-30,7288744.48,3056620.81,4232123.67,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2024-04-15 11:30:00
804,dnata Catering,V-DNA350,AP-70804,2024-04-15,2024-05-15,1207427.38,401931.73,805495.65,Catering,Net 30,Overdue,USD,Catering services from dnata Catering,2024-04-15 11:30:00
805,JLL,V-JLL158,AP-70805,2024-04-17,2024-05-17,258952.77,61424.22,197528.55,General Admin,Net 30,Overdue,USD,General Admin services from JLL,2024-04-17 11:30:00
806,CBRE,V-CBR654,AP-70806,2024-04-19,2024-05-19,451908.06,47694.61,404213.45,General Admin,Net 30,Overdue,USD,General Admin services from CBRE,2024-04-19 11:30:00
807,World Fuel Services,V-WOR909,AP-70807,2024-04-20,2024-05-05,2148798.34,573759.39,1575038.95,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2024-04-20 11:30:00
808,SMBC Aviation Capital,V-SMB239,AP-70808,2024-04-22,2024-05-22,3619573.27,508159.58,3111413.69,Lease Expense,Net 30,Overdue,USD,Lease Expense services from SMBC Aviation Capital,2024-04-22 11:30:00
809,dnata Catering,V-DNA350,AP-70809,2024-04-22,2024-05-22,1179158.74,24199.4,1154959.34,Catering,Net 30,Overdue,USD,Catering services from dnata Catering,2024-04-22 11:30:00
810,Atlanta ATL,V-ATL932,AP-70810,2024-04-23,2024-05-08,2206159.13,876222.68,1329936.45,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Atlanta ATL,2024-04-23 11:30:00
811,World Fuel Services,V-WOR909,AP-70811,2024-04-23,2024-05-08,115061.33,24234.6,90826.73,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2024-04-23 11:30:00
812,Mastercard Merchant Services,V-MAS103,AP-70812,2024-04-25,2024-05-25,620919.73,224336.45,396583.28,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2024-04-25 11:30:00
813,Avolon,V-AVO530,AP-70813,2024-04-26,2024-05-26,3923684.85,1044980.3,2878704.55,Lease Expense,Net 30,Overdue,USD,Lease Expense services from Avolon,2024-04-26 11:30:00
814,Denver DEN,V-DEN420,AP-70814,2024-04-27,2024-05-12,2527641.08,224509.15,2303131.93,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Denver DEN,2024-04-27 11:30:00
815,Mastercard Merchant Services,V-MAS103,AP-70815,2024-04-27,2024-05-27,641132.14,243607.84,397524.3,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2024-04-27 11:30:00
816,SITA,V-SIT591,AP-70816,2024-04-27,2024-05-27,588144.82,16086.16,572058.66,General Admin,Net 30,Overdue,USD,General Admin services from SITA,2024-04-27 11:30:00
817,dnata Catering,V-DNA350,AP-70817,2024-04-29,2024-05-29,1377727.07,233677.43,1144049.64,Catering,Net 30,Overdue,USD,Catering services from dnata Catering,2024-04-29 11:30:00
818,AT&T Business,V-ATT865,AP-70818,2024-04-30,2024-05-30,323296.44,41769.92,281526.52,General Admin,Net 30,Overdue,USD,General Admin services from AT&T Business,2024-04-30 11:30:00
819,Rolls-Royce TotalCare,V-ROL451,AP-70819,2024-04-30,2024-05-30,1873441.19,484672.8,1388768.39,Maintenance,Net 30,Overdue,USD,Maintenance services from Rolls-Royce TotalCare,2024-04-30 11:30:00
820,dnata,V-DNA868,AP-70820,2024-05-01,2024-05-16,911957.53,43907.55,868049.98,Airport Fees,Net 15,Overdue,USD,Airport Fees services from dnata,2024-05-01 11:30:00
821,AerCap,V-AER832,AP-70821,2024-05-03,2024-06-02,3643037.04,1194769.1,2448267.94,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2024-05-03 11:30:00
822,Chevron Aviation,V-CHE958,AP-70822,2024-05-03,2024-05-18,6706237.62,191180.31,6515057.31,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2024-05-03 11:30:00
823,Lufthansa Technik,V-LUF443,AP-70823,2024-05-03,2024-06-02,2452492.76,1042531.73,1409961.03,Maintenance,Net 30,Overdue,USD,Maintenance services from Lufthansa Technik,2024-05-03 11:30:00
824,AIG Aviation,V-AIG150,AP-70824,2024-05-04,2024-06-18,879808.32,121741.32,758067.0,Insurance,Net 45,Overdue,USD,Insurance services from AIG Aviation,2024-05-04 11:30:00
825,AerCap,V-AER832,AP-70825,2024-05-04,2024-06-03,4026981.89,1434918.46,2592063.43,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2024-05-04 11:30:00
826,Menzies Aviation,V-MEN381,AP-70826,2024-05-05,2024-05-20,962782.33,171215.04,791567.29,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Menzies Aviation,2024-05-05 11:30:00
827,Allianz Global Corporate & Specialty,V-ALL825,AP-70827,2024-05-06,2024-06-20,909076.02,42499.98,866576.04,Insurance,Net 45,Overdue,USD,Insurance services from Allianz Global Corporate & Specialty,2024-05-06 11:30:00
828,Atlanta ATL,V-ATL932,AP-70828,2024-05-06,2024-05-21,2236171.73,273814.24,1962357.49,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Atlanta ATL,2024-05-06 11:30:00
829,ConEdison,V-CON551,AP-70829,2024-05-06,2024-06-05,314207.18,122898.47,191308.71,General Admin,Net 30,Overdue,USD,General Admin services from ConEdison,2024-05-06 11:30:00
830,Travelport,V-TRA903,AP-70830,2024-05-07,2024-06-06,1161250.72,315495.98,845754.74,Distribution,Net 30,Overdue,USD,Distribution services from Travelport,2024-05-07 11:30:00
831,World Fuel Services,V-WOR909,AP-70831,2024-05-07,2024-05-22,3089400.01,642182.5,2447217.51,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2024-05-07 11:30:00
832,AIG Aviation,V-AIG150,AP-70832,2024-05-08,2024-06-22,836923.49,267172.43,569751.06,Insurance,Net 45,Overdue,USD,Insurance services from AIG Aviation,2024-05-08 11:30:00
833,AT&T Business,V-ATT865,AP-70833,2024-05-08,2024-06-07,499461.46,58052.26,441409.2,General Admin,Net 30,Overdue,USD,General Admin services from AT&T Business,2024-05-08 11:30:00
834,dnata,V-DNA868,AP-70834,2024-05-08,2024-05-23,819844.97,290698.08,529146.89,Airport Fees,Net 15,Overdue,USD,Airport Fees services from dnata,2024-05-08 11:30:00
835,JLL,V-JLL158,AP-70835,2024-05-09,2024-06-08,333650.55,80257.45,253393.1,General Admin,Net 30,Overdue,USD,General Admin services from JLL,2024-05-09 11:30:00
836,Pratt & Whitney Services,V-PRA964,AP-70836,2024-05-09,2024-06-08,1687816.44,253756.37,1434060.07,Maintenance,Net 30,Overdue,USD,Maintenance services from Pratt & Whitney Services,2024-05-09 11:30:00
837,dnata Catering,V-DNA350,AP-70837,2024-05-09,2024-06-08,1286121.89,112396.44,1173725.45,Catering,Net 30,Overdue,USD,Catering services from dnata Catering,2024-05-09 11:30:00
838,Chevron Aviation,V-CHE958,AP-70838,2024-05-10,2024-05-25,3372447.97,681808.89,2690639.08,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2024-05-10 11:30:00
839,Microsoft,V-MIC938,AP-70839,2024-05-10,2024-06-09,574474.34,63731.42,510742.92,General Admin,Net 30,Overdue,USD,General Admin services from Microsoft,2024-05-10 11:30:00
840,Rolls-Royce TotalCare,V-ROL451,AP-70840,2024-05-11,2024-06-10,1872775.75,779258.8,1093516.95,Maintenance,Net 30,Overdue,USD,Maintenance services from Rolls-Royce TotalCare,2024-05-11 11:30:00
841,AIG Aviation,V-AIG150,AP-70841,2024-05-12,2024-06-26,819329.06,178512.47,640816.59,Insurance,Net 45,Overdue,USD,Insurance services from AIG Aviation,2024-05-12 11:30:00
842,World Fuel Services,V-WOR909,AP-70842,2024-05-12,2024-05-27,11058585.27,2034244.68,9024340.59,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2024-05-12 11:30:00
843,Chicago ORD,V-CHI855,AP-70843,2024-05-13,2024-05-28,2149424.05,245900.8,1903523.25,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Chicago ORD,2024-05-13 11:30:00
844,World Fuel Services,V-WOR909,AP-70844,2024-05-14,2024-05-29,5443587.58,1301817.36,4141770.22,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2024-05-14 11:30:00
845,AerCap,V-AER832,AP-70845,2024-05-15,2024-06-14,3363268.86,1323582.95,2039685.91,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2024-05-15 11:30:00
846,AerCap,V-AER832,AP-70846,2024-05-16,2024-06-15,3525329.4,1566410.68,1958918.72,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2024-05-16 11:30:00
847,Delta TechOps,V-DEL976,AP-70847,2024-05-16,2024-06-15,2582305.07,1142936.09,1439368.98,Maintenance,Net 30,Overdue,USD,Maintenance services from Delta TechOps,2024-05-16 11:30:00
848,Swissport,V-SWI574,AP-70848,2024-05-16,2024-05-31,924499.68,63609.4,860890.28,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Swissport,2024-05-16 11:30:00
849,World Fuel Services,V-WOR909,AP-70849,2024-05-16,2024-05-31,6950712.09,334510.71,6616201.38,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2024-05-16 11:30:00
850,Gate Gourmet,V-GAT696,AP-70850,2024-05-17,2024-06-16,1206804.47,91592.01,1115212.46,Catering,Net 30,Overdue,USD,Catering services from Gate Gourmet,2024-05-17 11:30:00
851,Marsh Aviation,V-MAR666,AP-70851,2024-05-18,2024-07-02,933158.22,360921.64,572236.58,Insurance,Net 45,Overdue,USD,Insurance services from Marsh Aviation,2024-05-18 11:30:00
852,Sabre Travel Network,V-SAB834,AP-70852,2024-05-18,2024-06-17,1185077.2,352521.22,832555.98,Distribution,Net 30,Overdue,USD,Distribution services from Sabre Travel Network,2024-05-18 11:30:00
853,Avolon,V-AVO530,AP-70853,2024-05-19,2024-06-18,3412825.42,1156628.8,2256196.62,Lease Expense,Net 30,Overdue,USD,Lease Expense services from Avolon,2024-05-19 11:30:00
854,Visa Merchant Services,V-VIS840,AP-70854,2024-05-19,2024-06-18,583398.8,76793.08,506605.72,Distribution,Net 30,Overdue,USD,Distribution services from Visa Merchant Services,2024-05-19 11:30:00
855,Avolon,V-AVO530,AP-70855,2024-05-20,2024-06-19,3729655.32,443534.75,3286120.57,Lease Expense,Net 30,Overdue,USD,Lease Expense services from Avolon,2024-05-20 11:30:00
856,Travelport,V-TRA903,AP-70856,2024-05-20,2024-06-19,1186907.89,508915.05,677992.84,Distribution,Net 30,Overdue,USD,Distribution services from Travelport,2024-05-20 11:30:00
857,AerCap,V-AER832,AP-70857,2024-05-22,2024-06-21,3506849.03,412936.5,3093912.53,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2024-05-22 11:30:00
858,World Fuel Services,V-WOR909,AP-70858,2024-05-23,2024-06-07,6868179.77,2785004.84,4083174.93,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2024-05-23 11:30:00
859,American Express Merchant,V-AME382,AP-70859,2024-05-25,2024-06-24,647121.59,56383.09,590738.5,Distribution,Net 30,Overdue,USD,Distribution services from American Express Merchant,2024-05-25 11:30:00
860,American Express Merchant,V-AME382,AP-70860,2024-05-26,2024-06-25,733191.94,152335.27,580856.67,Distribution,Net 30,Overdue,USD,Distribution services from American Express Merchant,2024-05-26 11:30:00
861,GE Aerospace Services,V-GEA951,AP-70861,2024-05-27,2024-06-26,1714511.69,446447.28,1268064.41,Maintenance,Net 30,Overdue,USD,Maintenance services from GE Aerospace Services,2024-05-27 11:30:00
862,Sabre Travel Network,V-SAB834,AP-70862,2024-05-27,2024-06-26,1099383.36,33840.27,1065543.09,Distribution,Net 30,Overdue,USD,Distribution services from Sabre Travel Network,2024-05-27 11:30:00
863,Menzies Aviation,V-MEN381,AP-70863,2024-05-29,2024-06-13,877531.4,284709.78,592821.62,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Menzies Aviation,2024-05-29 11:30:00
864,Visa Merchant Services,V-VIS840,AP-70864,2024-05-29,2024-06-28,699732.63,314142.66,385589.97,Distribution,Net 30,Overdue,USD,Distribution services from Visa Merchant Services,2024-05-29 11:30:00
865,Chevron Aviation,V-CHE958,AP-70865,2024-05-30,2024-06-14,3669297.4,819588.68,2849708.72,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2024-05-30 11:30:00
866,Mastercard Merchant Services,V-MAS103,AP-70866,2024-05-30,2024-06-29,639680.02,157705.57,481974.45,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2024-05-30 11:30:00
867,American Express Merchant,V-AME382,AP-70867,2024-06-01,2024-07-01,736994.98,170356.23,566638.75,Distribution,Net 30,Overdue,USD,Distribution services from American Express Merchant,2024-06-01 11:30:00
868,Gate Gourmet,V-GAT696,AP-70868,2024-06-01,2024-07-01,1449647.19,265283.62,1184363.57,Catering,Net 30,Overdue,USD,Catering services from Gate Gourmet,2024-06-01 11:30:00
869,Lufthansa Technik,V-LUF443,AP-70869,2024-06-02,2024-07-02,2642533.98,25279.23,2617254.75,Maintenance,Net 30,Overdue,USD,Maintenance services from Lufthansa Technik,2024-06-02 11:30:00
870,AIG Aviation,V-AIG150,AP-70870,2024-06-03,2024-07-18,865155.33,72139.74,793015.59,Insurance,Net 45,Overdue,USD,Insurance services from AIG Aviation,2024-06-03 11:30:00
871,Delta TechOps,V-DEL976,AP-70871,2024-06-04,2024-07-04,2396407.2,1026898.5,1369508.7,Maintenance,Net 30,Overdue,USD,Maintenance services from Delta TechOps,2024-06-04 11:30:00
872,Mastercard Merchant Services,V-MAS103,AP-70872,2024-06-04,2024-07-04,729297.22,122914.51,606382.71,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2024-06-04 11:30:00
873,Pratt & Whitney Services,V-PRA964,AP-70873,2024-06-04,2024-07-04,1671532.23,236999.66,1434532.57,Maintenance,Net 30,Overdue,USD,Maintenance services from Pratt & Whitney Services,2024-06-04 11:30:00
874,World Fuel Services,V-WOR909,AP-70874,2024-06-04,2024-06-19,12058002.62,3033401.1,9024601.52,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2024-06-04 11:30:00
875,JLL,V-JLL158,AP-70875,2024-06-05,2024-07-05,284114.39,7595.43,276518.96,General Admin,Net 30,Overdue,USD,General Admin services from JLL,2024-06-05 11:30:00
876,Sabre Travel Network,V-SAB834,AP-70876,2024-06-05,2024-07-05,1047668.05,376460.86,671207.19,Distribution,Net 30,Overdue,USD,Distribution services from Sabre Travel Network,2024-06-05 11:30:00
877,dnata,V-DNA868,AP-70877,2024-06-05,2024-06-20,929285.73,136914.08,792371.65,Airport Fees,Net 15,Overdue,USD,Airport Fees services from dnata,2024-06-05 11:30:00
878,AIG Aviation,V-AIG150,AP-70878,2024-06-06,2024-07-21,935100.99,167666.76,767434.23,Insurance,Net 45,Overdue,USD,Insurance services from AIG Aviation,2024-06-06 11:30:00
879,AerCap,V-AER832,AP-70879,2024-06-06,2024-07-06,3415564.88,703703.7,2711861.18,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2024-06-06 11:30:00
880,American Express Merchant,V-AME382,AP-70880,2024-06-06,2024-07-06,660748.21,128476.96,532271.25,Distribution,Net 30,Overdue,USD,Distribution services from American Express Merchant,2024-06-06 11:30:00
881,Los Angeles LAX,V-LOS944,AP-70881,2024-06-06,2024-06-21,2309774.95,365689.34,1944085.61,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Los Angeles LAX,2024-06-06 11:30:00
882,World Fuel Services,V-WOR909,AP-70882,2024-06-06,2024-06-21,8660321.16,289025.38,8371295.78,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2024-06-06 11:30:00
883,Marsh Aviation,V-MAR666,AP-70883,2024-06-07,2024-07-22,930623.93,389038.11,541585.82,Insurance,Net 45,Overdue,USD,Insurance services from Marsh Aviation,2024-06-07 11:30:00
884,Menzies Aviation,V-MEN381,AP-70884,2024-06-08,2024-06-23,1050500.75,415373.49,635127.26,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Menzies Aviation,2024-06-08 11:30:00
885,JLL,V-JLL158,AP-70885,2024-06-10,2024-07-10,349262.57,2283.55,346979.02,General Admin,Net 30,Overdue,USD,General Admin services from JLL,2024-06-10 11:30:00
886,Chicago ORD,V-CHI855,AP-70886,2024-06-11,2024-06-26,2337987.57,690764.85,1647222.72,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Chicago ORD,2024-06-11 11:30:00
887,Allianz Global Corporate & Specialty,V-ALL825,AP-70887,2024-06-12,2024-07-27,835743.27,153879.0,681864.27,Insurance,Net 45,Overdue,USD,Insurance services from Allianz Global Corporate & Specialty,2024-06-12 11:30:00
888,AIG Aviation,V-AIG150,AP-70888,2024-06-13,2024-07-28,836415.87,110280.98,726134.89,Insurance,Net 45,Overdue,USD,Insurance services from AIG Aviation,2024-06-13 11:30:00
889,Gate Gourmet,V-GAT696,AP-70889,2024-06-13,2024-07-13,1333224.58,564124.49,769100.09,Catering,Net 30,Overdue,USD,Catering services from Gate Gourmet,2024-06-13 11:30:00
890,Chevron Aviation,V-CHE958,AP-70890,2024-06-14,2024-06-29,9715568.04,1603879.38,8111688.66,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2024-06-14 11:30:00
891,AerCap,V-AER832,AP-70891,2024-06-15,2024-07-15,3971098.23,68289.42,3902808.81,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2024-06-15 11:30:00
892,Chevron Aviation,V-CHE958,AP-70892,2024-06-15,2024-06-30,4778054.11,1686524.28,3091529.83,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2024-06-15 11:30:00
893,Atlanta ATL,V-ATL932,AP-70893,2024-06-16,2024-07-01,2572027.11,551712.67,2020314.44,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Atlanta ATL,2024-06-16 11:30:00
894,Chevron Aviation,V-CHE958,AP-70894,2024-06-16,2024-07-01,7323255.68,3028533.96,4294721.72,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2024-06-16 11:30:00
895,Mastercard Merchant Services,V-MAS103,AP-70895,2024-06-16,2024-07-16,758019.89,130611.58,627408.31,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2024-06-16 11:30:00
896,CBRE,V-CBR654,AP-70896,2024-06-19,2024-07-19,301550.79,44608.51,256942.28,General Admin,Net 30,Overdue,USD,General Admin services from CBRE,2024-06-19 11:30:00
897,Marsh Aviation,V-MAR666,AP-70897,2024-06-19,2024-08-03,837781.01,236392.11,601388.9,Insurance,Net 45,Overdue,USD,Insurance services from Marsh Aviation,2024-06-19 11:30:00
898,Menzies Aviation,V-MEN381,AP-70898,2024-06-19,2024-07-04,1814343.93,55925.62,1758418.31,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Menzies Aviation,2024-06-19 11:30:00
899,JLL,V-JLL158,AP-70899,2024-06-20,2024-07-20,319501.82,102654.17,216847.65,General Admin,Net 30,Overdue,USD,General Admin services from JLL,2024-06-20 11:30:00
900,Microsoft,V-MIC938,AP-70900,2024-06-20,2024-07-20,420013.98,30178.51,389835.47,General Admin,Net 30,Overdue,USD,General Admin services from Microsoft,2024-06-20 11:30:00
901,Pratt & Whitney Services,V-PRA964,AP-70901,2024-06-23,2024-07-23,1790557.01,581494.67,1209062.34,Maintenance,Net 30,Overdue,USD,Maintenance services from Pratt & Whitney Services,2024-06-23 11:30:00
902,ConEdison,V-CON551,AP-70902,2024-06-24,2024-07-24,380472.17,3960.57,376511.6,General Admin,Net 30,Overdue,USD,General Admin services from ConEdison,2024-06-24 11:30:00
903,Swissport Fueling,V-SWI553,AP-70903,2024-06-24,2024-07-09,1476472.4,557270.32,919202.08,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Swissport Fueling,2024-06-24 11:30:00
904,Marsh Aviation,V-MAR666,AP-70904,2024-06-25,2024-08-09,802362.07,244900.58,557461.49,Insurance,Net 45,Overdue,USD,Insurance services from Marsh Aviation,2024-06-25 11:30:00
905,SMBC Aviation Capital,V-SMB239,AP-70905,2024-06-25,2024-07-25,3107136.6,1084522.32,2022614.28,Lease Expense,Net 30,Overdue,USD,Lease Expense services from SMBC Aviation Capital,2024-06-25 11:30:00
906,Swissport,V-SWI574,AP-70906,2024-06-25,2024-07-10,876970.11,359053.5,517916.61,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Swissport,2024-06-25 11:30:00
907,Visa Merchant Services,V-VIS840,AP-70907,2024-06-25,2024-07-25,686235.29,258181.66,428053.63,Distribution,Net 30,Overdue,USD,Distribution services from Visa Merchant Services,2024-06-25 11:30:00
908,Amadeus,V-AMA488,AP-70908,2024-06-26,2024-07-26,1115963.94,117625.93,998338.01,Distribution,Net 30,Overdue,USD,Distribution services from Amadeus,2024-06-26 11:30:00
909,Atlanta ATL,V-ATL932,AP-70909,2024-06-26,2024-07-11,2422932.45,871779.69,1551152.76,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Atlanta ATL,2024-06-26 11:30:00
910,Gate Gourmet,V-GAT696,AP-70910,2024-06-26,2024-07-26,1124411.05,69157.37,1055253.68,Catering,Net 30,Overdue,USD,Catering services from Gate Gourmet,2024-06-26 11:30:00
911,Pratt & Whitney Services,V-PRA964,AP-70911,2024-06-26,2024-07-26,1540380.6,476347.86,1064032.74,Maintenance,Net 30,Overdue,USD,Maintenance services from Pratt & Whitney Services,2024-06-26 11:30:00
912,World Fuel Services,V-WOR909,AP-70912,2024-06-27,2024-07-12,1699306.94,159559.43,1539747.51,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2024-06-27 11:30:00
913,LSG Sky Chefs,V-LSG959,AP-70913,2024-06-28,2024-07-28,1371866.06,199186.93,1172679.13,Catering,Net 30,Overdue,USD,Catering services from LSG Sky Chefs,2024-06-28 11:30:00
914,Marsh Aviation,V-MAR666,AP-70914,2024-06-30,2024-08-14,922752.55,176407.86,746344.69,Insurance,Net 45,Overdue,USD,Insurance services from Marsh Aviation,2024-06-30 11:30:00
915,Travelport,V-TRA903,AP-70915,2024-06-30,2024-07-30,1137809.39,307971.03,829838.36,Distribution,Net 30,Overdue,USD,Distribution services from Travelport,2024-06-30 11:30:00
916,Pratt & Whitney Services,V-PRA964,AP-70916,2024-07-01,2024-07-31,1918348.61,391538.19,1526810.42,Maintenance,Net 30,Overdue,USD,Maintenance services from Pratt & Whitney Services,2024-07-01 11:30:00
917,SMBC Aviation Capital,V-SMB239,AP-70917,2024-07-01,2024-07-31,3806315.69,768954.33,3037361.36,Lease Expense,Net 30,Overdue,USD,Lease Expense services from SMBC Aviation Capital,2024-07-01 11:30:00
918,Rolls-Royce TotalCare,V-ROL451,AP-70918,2024-07-02,2024-08-01,1638387.67,217943.42,1420444.25,Maintenance,Net 30,Overdue,USD,Maintenance services from Rolls-Royce TotalCare,2024-07-02 11:30:00
919,AAR Corp,V-AAR941,AP-70919,2024-07-03,2024-08-02,2400759.33,136032.7,2264726.63,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2024-07-03 11:30:00
920,CBRE,V-CBR654,AP-70920,2024-07-03,2024-08-02,375651.42,168013.79,207637.63,General Admin,Net 30,Overdue,USD,General Admin services from CBRE,2024-07-03 11:30:00
921,dnata Catering,V-DNA350,AP-70921,2024-07-03,2024-08-02,1547456.35,474186.97,1073269.38,Catering,Net 30,Overdue,USD,Catering services from dnata Catering,2024-07-03 11:30:00
922,Chevron Aviation,V-CHE958,AP-70922,2024-07-04,2024-07-19,8266913.81,621871.71,7645042.1,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2024-07-04 11:30:00
923,Marsh Aviation,V-MAR666,AP-70923,2024-07-04,2024-08-18,926615.45,408906.9,517708.55,Insurance,Net 45,Overdue,USD,Insurance services from Marsh Aviation,2024-07-04 11:30:00
924,SITA,V-SIT591,AP-70924,2024-07-04,2024-08-03,344377.32,89135.03,255242.29,General Admin,Net 30,Overdue,USD,General Admin services from SITA,2024-07-04 11:30:00
925,Sabre Travel Network,V-SAB834,AP-70925,2024-07-04,2024-08-03,1221084.68,92053.23,1129031.45,Distribution,Net 30,Overdue,USD,Distribution services from Sabre Travel Network,2024-07-04 11:30:00
926,Amadeus,V-AMA488,AP-70926,2024-07-05,2024-08-04,1366671.86,564241.33,802430.53,Distribution,Net 30,Overdue,USD,Distribution services from Amadeus,2024-07-05 11:30:00
927,Gate Gourmet,V-GAT696,AP-70927,2024-07-05,2024-08-04,1541838.23,131648.85,1410189.38,Catering,Net 30,Overdue,USD,Catering services from Gate Gourmet,2024-07-05 11:30:00
928,Lufthansa Technik,V-LUF443,AP-70928,2024-07-05,2024-08-04,2926570.84,989007.73,1937563.11,Maintenance,Net 30,Overdue,USD,Maintenance services from Lufthansa Technik,2024-07-05 11:30:00
929,SITA,V-SIT591,AP-70929,2024-07-05,2024-08-04,442046.58,100166.06,341880.52,General Admin,Net 30,Overdue,USD,General Admin services from SITA,2024-07-05 11:30:00
930,Chevron Aviation,V-CHE958,AP-70930,2024-07-06,2024-07-21,7213826.28,3175672.16,4038154.12,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2024-07-06 11:30:00
931,Gate Gourmet,V-GAT696,AP-70931,2024-07-06,2024-08-05,1461854.96,534194.97,927659.99,Catering,Net 30,Overdue,USD,Catering services from Gate Gourmet,2024-07-06 11:30:00
932,Rolls-Royce TotalCare,V-ROL451,AP-70932,2024-07-06,2024-08-05,2058585.21,135240.92,1923344.29,Maintenance,Net 30,Overdue,USD,Maintenance services from Rolls-Royce TotalCare,2024-07-06 11:30:00
933,LSG Sky Chefs,V-LSG959,AP-70933,2024-07-07,2024-08-06,1663995.56,298992.41,1365003.15,Catering,Net 30,Overdue,USD,Catering services from LSG Sky Chefs,2024-07-07 11:30:00
934,Pratt & Whitney Services,V-PRA964,AP-70934,2024-07-08,2024-08-07,1984167.64,427160.12,1557007.52,Maintenance,Net 30,Overdue,USD,Maintenance services from Pratt & Whitney Services,2024-07-08 11:30:00
